Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
unix  3      [ ]         STREAM     CONNECTED     46294    
unix  3      [ ]         STREAM     CONNECTED     48398    
unix  3      [ ]         STREAM     CONNECTED     78096    
unix  3      [ ]         STREAM     CONNECTED     48434    
unix  3      [ ]         STREAM     CONNECTED     32572    
unix  3      [ ]         STREAM     CONNECTED     112229   
unix  3      [ ]         SEQPACKET  CONNECTED     98867    
unix  3      [ ]         STREAM     CONNECTED     61202    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     40221    
unix  3      [ ]         STREAM     CONNECTED     41562    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     39332    
unix  3      [ ]         STREAM     CONNECTED     31466    
unix  3      [ ]         SEQPACKET  CONNECTED     104089   
unix  3      [ ]         SEQPACKET  CONNECTED     72495    
unix  3      [ ]         STREAM     CONNECTED     51881    
unix  3      [ ]         SEQPACKET  CONNECTED     90727    
unix  2      [ ]         STREAM     CONNECTED     92110    
unix  2      [ ]         STREAM     CONNECTED     72497    
unix  3      [ ]         STREAM     CONNECTED     77346    
unix  2      [ ]         STREAM     CONNECTED     67839    
unix  2      [ ]         STREAM     CONNECTED     60939    
unix  3      [ ]         STREAM     CONNECTED     45281    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     39895    
unix  3      [ ]         STREAM     CONNECTED     44931    
unix  3      [ ]         STREAM     CONNECTED     114041   
unix  3      [ ]         SEQPACKET  CONNECTED     84610    
unix  3      [ ]         STREAM     CONNECTED     75719    
unix  3      [ ]         STREAM     CONNECTED     64050    @/tmp/dbus-VFvSlngVmD
unix  3      [ ]         STREAM     CONNECTED     63768    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     43703    
unix  3      [ ]         STREAM     CONNECTED     41564    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     41563    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     47236    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     66564    /run/user/1000/bus
unix  3      [ ]         SEQPACKET  CONNECTED     93331    
unix  3      [ ]         STREAM     CONNECTED     63788    
unix  3      [ ]         STREAM     CONNECTED     42697    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     42319    
unix  3      [ ]         STREAM     CONNECTED     37572    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     38498    
unix  3      [ ]         STREAM     CONNECTED     30349    
unix  3      [ ]         STREAM     CONNECTED     40305    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     40295    @/tmp/dbus-VFvSlngVmD
unix  3      [ ]         STREAM     CONNECTED     96643    
unix  3      [ ]         SEQPACKET  CONNECTED     80143    
unix  3      [ ]         STREAM     CONNECTED     42691    @/tmp/.ICE-unix/1588
unix  3      [ ]         STREAM     CONNECTED     36853    
unix  3      [ ]         DGRAM                    27470    
unix  3      [ ]         SEQPACKET  CONNECTED     81002    
unix  3      [ ]         STREAM     CONNECTED     114042   
unix  3      [ ]         STREAM     CONNECTED     96611    
unix  3      [ ]         SEQPACKET  CONNECTED     84611    
unix  3      [ ]         STREAM     CONNECTED     42718    /run/user/1000/bus
unix  3      [ ]         DGRAM                    43680    
unix  3      [ ]         STREAM     CONNECTED     32730    /run/dbus/system_bus_socket
unix  3      [ ]         DGRAM                    26967    
unix  3      [ ]         SEQPACKET  CONNECTED     81470    
unix  2      [ ]         STREAM     CONNECTED     67886    
unix  2      [ ]         STREAM     CONNECTED     40315    /run/user/1000/plasmashellbnGqDA.6.slave-socket
unix  3      [ ]         STREAM     CONNECTED     45010    
unix  3      [ ]         STREAM     CONNECTED     44971    
unix  3      [ ]         STREAM     CONNECTED     41413    
unix  3      [ ]         STREAM     CONNECTED     41410    
unix  3      [ ]         STREAM     CONNECTED     108580   
unix  3      [ ]         STREAM     CONNECTED     45293    
unix  3      [ ]         STREAM     CONNECTED     51901    
